client_id,nom,prenom,email,phone,city,country,signup_date,segment,is_vip,birthdate
1,Meyer,Alix, ALIX.MEYER@BOUYGTEL.FR ,+33 (0)1 97 82 64 02,Richard-la-Forêt,Suisse,2019-12-09,B2C,False,1998-06-27
2,Valette,Camille,camille.valette at ifrance.com,04 69 42 57 43,Jacobnec,Luxembourg,2025-01-06,B2B,False,1949-05-18
3,Briand,Marc,marc.briand@tele2.fr,+33 6 53 33 15 06,Meyerdan,Belgique,2021-08-19,VIP,True,1977-02-26
4,Chevallier,Xavier,xavier.chevallier@orange.fr,05 11 21 55 34,Cousin,Suisse,2020-10-28,B2B,False,1966-06-19
5,Becker,Martine,martine.becker@free.fr,02 36 60 36 19,Ruiz,Suisse,2019-05-04,B2B,False,2003-07-28
6,Delattre,Éric,éric.delattre@club-internet.fr,01 33 74 23 73,Sainte Colette,Canada,2019-05-04,B2B,False,1974-06-21
7,Simon,Stéphane,stéphane.simon@noos.fr,+33 (0)2 95 19 33 07,Duhamel-sur-Picard,Luxembourg,2019-02-13,Etudiant,False,1973-08-22
8,Salmon,Aurélie,aurélie.salmon@gmail.com,+33 (0)2 95 31 09 86,Lenoir,France,2023-01-08,B2C,False,1979-05-20
9,Boutin,Alfred,alfred.boutin@orange.fr,0131384234,Munoz,Canada,2020-11-01,B2C,False,1966-07-08
10,Seguin,Margaret,margaret.seguin@bouygtel.fr,+33 5 75 10 00 93,Marty,Luxembourg,2021-06-17,B2C,False,1995-04-10
11,Dubois,Alexandrie,alexandrie.dubois@club-internet.fr,01 81 46 79 04,Lecomte,Canada,2019-01-16,B2B,False,1954-03-22
12,Rossi  ,Alain,alain.rossi at club-internet.fr,+33 (0)4 17 09 59 00,Millet-sur-Lemonnier,Maroc,2025-09-01,Etudiant,False,1950-03-06
13,Lebon,René,rené.lebon@noos.fr,+33 (0)6 97 63 27 98,Boulangerdan,Luxembourg,2022-07-28,Etudiant,False,1998-02-19
14,Bonneau,Margot,margot.bonneau@orange.fr,01 71 67 32 66,Bourgeois-les-Bains,Luxembourg,2019-06-24,Sénior,False,2007-08-19
15,Gaillard,Paul,paul.gaillard@wanadoo.fr,04 95 64 52 21,Saint Andrédan,Belgique,2019-05-27,B2C,False,2000-08-13
16,Alves,Corinne,corinne.alves@ifrance.com,0180482438,Sainte MathildeBourg,Canada,2019-05-28,Sénior,False,1960-05-05
17,Mahe,Susanne,susanne.mahe@wanadoo.fr,0372564246,Bertrand-sur-Mer,Suisse,2019-09-22,B2C,False,1974-03-07
18,Peron,Zacharie,zacharie.peron@yahoo.fr,05 91 38 68 88,Maréchal,Belgique,2020-06-27,B2B,True,1951-01-24
19,Morvan,Paul,paul.morvan@gmail.com,+33 6 33 60 01 96,Boutin,Canada,2020-02-17,B2C,False,1956-06-14
20,Delannoy,Christine,christine.delannoy@dbmail.com,+33 2 74 78 66 78,Lebon,Suisse,2019-09-09,B2C,False,2002-10-27
21,Texier,Margot,margot.texier@ifrance.com,+33 5 32 87 83 57,Cohen-sur-Morin,Belgique,2020-11-21,B2C,False,1995-02-08
22,Schneider,Monique,monique.schneider@noos.fr,+33 (0)5 01 69 78 18,Sainte Corinne,Luxembourg,2019-04-20,B2C,False,1959-03-09
23,Lemonnier,Amélie,amélie.lemonnier@ifrance.com,+33 1 69 87 31 15,Blondel,Belgique,2019-09-10,Etudiant,False,1992-11-29
24,Chrétien,Pénélope,pénélope.chrétien@wanadoo.fr,+33 8 06 30 37 25,Sainte Claude-sur-Mer,Maroc,2019-11-30,Sénior,False,1964-01-08
25,Leroux,Thomas,thomas.leroux@hotmail.fr,0112140520,Saint Eugène,France,2020-03-20,B2C,False,1960-01-13
26,Cousin,Danielle,danielle.cousin@voila.fr,01 89 21 93 99,Prévost,Belgique,2022-01-27,B2C,False,1956-07-28
27,Hoareau,Margot,margot.hoareau@sfr.fr,05 77 97 09 10,Humbert-la-Forêt,Suisse,2019-06-12,B2C,False,1986-04-08
28,Marques,Lorraine,lorraine.marques@club-internet.fr,0801486866,Leblanc,France,2020-06-11,B2C,False,1998-09-17
29,Fernandez,Victoire,victoire.fernandez@sfr.fr,+33 1 50 14 33 59,Sainte Victordan,Suisse,2020-10-17,B2C,False,1958-12-12
30,Roussel,Jules,jules.roussel at tele2.fr,+33 (0)1 98 53 19 26,Bonneau,Suisse,2019-02-04,Sénior,False,1995-08-20
31,Thibault,Laetitia,laetitia.thibault@sfr.fr,+33 (0)5 37 47 25 96,Sainte Mathilde,Suisse,2020-11-13,B2C,False,1983-12-31
32,Jacquet,Constance,constance.jacquet@orange.fr,+33 (0)1 60 71 12 25,Maury,France,2019-05-17,B2C,False,1950-07-11
33,Guillaume,Benoît,benoît.guillaume@tele2.fr,06 09 82 80 04,Carpentier-les-Bains,Maroc,2019-02-19,Sénior,False,1974-07-23
34,Tessier,Guillaume,guillaume.tessier@orange.fr,0175211445,Guillot-sur-Lemonnier,France,2024-12-10,Etudiant,False,1985-04-18
35,Germain,Madeleine,madeleine.germain@noos.fr,0472608782,LegrosVille,Belgique,2025-09-01,Etudiant,False,1991-10-19
36,Bègue,Noël,noël.bègue@ifrance.com,05 89 12 66 92,Poulain-les-Bains,Maroc,2022-04-21,Etudiant,False,1997-12-25
37,Gomes,Adèle,adèle.gomes@laposte.net,+33 (0)1 87 26 97 84,Olivier,Belgique,2019-09-23,B2C,False,1971-12-08
38,Renard,Frédérique,frédérique.renard@laposte.net,+33 (0)1 65 92 23 94,Baudry-la-Forêt,Luxembourg,2019-03-17,B2C,True,1984-03-31
39,Didier,Aimé,aimé.didier@dbmail.com,+33 (0)4 90 22 28 41,Mercier-sur-Huet,Suisse,2021-04-21,B2C,False,1997-04-22
40,Rousset,Nathalie,nathalie.rousset at tele2.fr,0487118934,Saint Vincent,Luxembourg,2020-02-28,VIP,True,1947-07-08
41,Garnier,Luce,luce.garnier@dbmail.com,+33 (0)1 10 07 43 09,Sainte Honoré,France,2019-04-06,Etudiant,False,1979-12-08
42,Chrétien  ,Georges,georges.chrétien@voila.fr,06 43 66 38 61,Saint Margot,Canada,2020-05-13,VIP,True,1992-01-26
43,Renault,Geneviève,geneviève.renault@free.fr,+33 1 47 39 73 91,Roche,Luxembourg,2019-01-26,B2B,False,1968-01-18
44,Gros,Sébastien,sébastien.gros@dbmail.com,01 02 90 63 96,Baudry,France,2023-10-19,B2C,False,1952-02-16
45,Allard,Agnès,agnès.allard@ifrance.com,+33 8 01 06 55 61,Blot,France,2019-08-07,B2C,False,1952-11-03
46,Chauvin,Guy,guy.chauvin@sfr.fr,+33 1 07 67 90 51,,Canada,2021-03-03,B2C,False,1945-12-28
47,Diallo,Marianne,marianne.diallo@free.fr,+33 8 03 25 72 66,Torres-sur-Mer,Maroc,2019-09-30,B2C,False,1985-04-29
48,Paris,Julien,julien.paris@sfr.fr,05 14 32 28 74,Faure,Suisse,2020-06-19,Sénior,False,1952-09-19
49,Bourgeois,Marine,marine.bourgeois@wanadoo.fr,+33 4 67 89 35 69,Sainte AgnèsVille,Canada,2020-07-31,B2C,False,1950-06-23
50,Samson,Lucas,lucas.samson@laposte.net,04 94 96 96 13,Dupuy,Belgique,2019-05-30,B2C,False,1959-03-23
51,Maillot,Louis,louis.maillot@gmail.com,03 33 36 96 37,Saint Joseph,Suisse,2025-09-01,B2C,False,1989-02-15
52,Leroy,Anouk,anouk.leroy at wanadoo.fr,+33 1 90 28 80 89,LopezVille,Luxembourg,2021-12-25,B2C,True,1976-02-15
53,Daniel,Margot,margot.daniel@ifrance.com,03 00 39 58 89,Legros,Luxembourg,2024-08-09,Etudiant,False,1983-03-13
54,Royer  ,Inès,inès.royer@tiscali.fr,04 67 24 34 00,Dufour,Canada,2023-07-03,Sénior,False,1959-10-06
55,Paul,Louis,louis.paul@bouygtel.fr,0606891873,De Oliveiradan,Canada,2020-10-27,B2C,False,1978-04-25
56,Benoit,Olivie,olivie.benoit@gmail.com,+33 5 04 48 29 85,Martinezboeuf,Suisse,2024-02-05,Etudiant,False,1959-04-16
57,Bonnin,Théophile, THÉOPHILE.BONNIN@TELE2.FR ,01 95 83 71 00,Saint Jeannine-les-Bains,France,2019-03-09,Sénior,False,2005-11-08
58,Devaux,Lucie,lucie.devaux@yahoo.fr,02 07 88 37 24,Barthelemy-les-Bains,Suisse,2019-06-09,Etudiant,False,1953-03-15
59,Fernandes,Michel,michel.fernandes@club-internet.fr,03 08 04 96 33,Renaultnec,Suisse,2019-02-03,B2B,False,1974-01-04
60,Breton,Catherine,catherine.breton@free.fr,0697203648,Humbert,Suisse,2019-10-15,Etudiant,False,1996-10-27
61,Torres,Clémence, CLÉMENCE.TORRES@GMAIL.COM ,+33 (0)1 26 64 50 05,Klein,Maroc,2019-12-26,B2C,False,1963-09-15
62,De Sousa,Raymond,raymond.de sousa@tiscali.fr,+33 (0)1 27 94 04 47,Roche,Maroc,2019-08-20,B2C,False,1952-06-04
63,Riou,Philippe,philippe.riou@live.com,+33 6 64 69 18 30,Guyotboeuf,Belgique,2022-07-12,Etudiant,False,1967-03-29
64,Faure,Joseph,joseph.faure at club-internet.fr,+33 5 68 87 97 40,Gomes,Belgique,2019-11-19,B2C,False,1984-07-03
65,Blanchard,Henriette,henriette.blanchard at live.com,+33 (0)3 85 17 61 37,Goncalves,France,2019-08-29,B2C,False,1957-11-15
66,Blanchet,Émile,émile.blanchet@free.fr,+33 (0)3 71 27 52 93,LaineVille,Belgique,2020-07-25,B2C,False,1948-02-12
67,Bonnet,Aimée,aimée.bonnet@bouygtel.fr,06 56 39 69 11,Boutin-sur-Rodrigues,Maroc,2019-04-21,B2C,False,1986-12-31
68,Hebert,Christine,christine.hebert@free.fr,01 57 06 43 62,Roger-la-Forêt,Belgique,2022-03-28,Etudiant,False,1954-10-15
69,Henry,Yves,yves.henry@wanadoo.fr,01 60 39 83 71,Verdier,Belgique,2019-02-26,B2C,False,1996-04-29
70,Le Goff,Renée,renée.le goff@wanadoo.fr,+33 1 13 76 03 15,Denis,Canada,2025-09-01,B2C,True,1982-03-04
71,Marchal,Émile,émile.marchal@dbmail.com,+33 (0)8 09 11 05 45,Ferreira,France,2021-12-16,B2C,False,1951-03-19
72,Lebon,Patricia,patricia.lebon@yahoo.fr,+33 (0)6 43 14 99 21,Maurice-sur-Potier,Luxembourg,2019-06-11,Etudiant,False,1952-03-14
73,Lucas,Maggie,maggie.lucas@gmail.com,0329228876,Robertdan,Suisse,2019-01-05,B2B,False,1998-10-12
74,Gallet,Alexandrie,alexandrie.gallet@laposte.net,+33 (0)1 57 88 69 51,ChartierBourg,France,2022-05-18,B2C,False,1945-11-01
75,Devaux,Alix,alix.devaux@laposte.net,06 19 08 37 76,Meyer,Maroc,2021-06-14,B2C,False,1951-08-10
76,Carlier,Nathalie,nathalie.carlier@noos.fr,+33 3 04 82 41 26,Diaz-la-Forêt,Suisse,2021-08-11,Etudiant,False,1992-10-18
77,Richard,Renée,renée.richard@tiscali.fr,+33 (0)6 00 50 13 67,Sainte Emmanuelle-la-Forêt,Suisse,2021-12-12,VIP,True,1983-04-05
78,Jacques,Élisabeth,élisabeth.jacques@tiscali.fr,+33 (0)3 38 43 13 59,Benoit-la-Forêt,Suisse,2019-02-26,B2C,False,1947-03-10
79,Dupuy,Étienne,étienne.dupuy@wanadoo.fr,+33 (0)6 16 55 94 27,Costa,France,2019-11-21,Etudiant,False,1961-02-14
80,Morel,Jeannine,jeannine.morel@noos.fr,+33 (0)8 07 57 35 41,Boyer-sur-Giraud,France,2019-03-31,B2C,False,1978-11-17
81,Benoit,Noël,noël.benoit@wanadoo.fr,+33 6 01 44 84 21,Saint Louis-sur-Mer,Luxembourg,2022-12-22,B2C,False,1985-01-14
82,Berger,Charlotte,charlotte.berger@voila.fr,01 42 09 52 41,Buissonnec,Luxembourg,2020-12-13,B2C,False,1961-03-03
83,Laroche,Juliette,juliette.laroche@wanadoo.fr,+33 3 24 73 65 14,PerrinVille,Suisse,2019-10-21,B2C,False,1996-10-15
84,Bruneau,Alexandria, ALEXANDRIA.BRUNEAU@DBMAIL.COM ,0804692677,Hebert,Canada,2019-02-17,B2C,False,1997-07-03
85,Leroux,Lucy,lucy.leroux@orange.fr,0411136592,Gilbert,Suisse,2019-09-29,B2C,False,1965-04-26
86,Jean  ,Margaud,margaud.jean@free.fr,0653254976,TeixeiraBourg,France,2019-10-15,B2C,False,1970-06-16
87,Baudry,Hélène,hélène.baudry@bouygtel.fr,08 04 38 98 62,ClercBourg,Luxembourg,2021-08-12,Sénior,False,1994-05-08
88,Marion,Édith,édith.marion@hotmail.fr,04 25 95 05 49,Evrard-la-Forêt,Belgique,2021-01-10,Sénior,False,1973-04-28
89,Monnier,Margot,margot.monnier@orange.fr,+33 8 09 79 06 52,Boucher-sur-Aubry,Canada,2023-05-13,Sénior,False,1949-03-09
90,Couturier,Zoé,zoé.couturier@live.com,06 97 40 40 30,Saint Odettenec,Canada,2020-04-11,B2C,False,2006-04-22
91,Menard,Sabine,sabine.menard@wanadoo.fr,05 62 86 66 25,Jourdan,Suisse,2019-04-03,B2B,False,2000-06-23
92,Godard,Alexandre,alexandre.godard@live.com,0618247154,Sainte Aurore,Canada,2021-06-30,Etudiant,False,2001-07-17
93,Da Costa,Gilbert,gilbert.da costa@free.fr,+33 (0)6 27 07 23 02,Chauvin-la-Forêt,Maroc,2021-11-10,Etudiant,False,1992-10-03
94,Garnier,Susan,susan.garnier@wanadoo.fr,02 46 94 72 78,Gomes,Belgique,2020-08-24,B2C,False,1946-07-07
95,Carpentier,Odette,odette.carpentier@wanadoo.fr,0804247290,Tessier-sur-Albert,Luxembourg,2021-12-11,B2C,False,1984-11-23
96,Leroux,Noémi,noémi.leroux@gmail.com,+33 8 02 11 65 52,Garnier-les-Bains,France,2020-05-11,B2C,False,1954-12-20
97,Maurice,Émile,émile.maurice@tiscali.fr,+33 1 62 15 26 96,Traore,Canada,2020-06-23,B2C,False,1975-06-24
